Date,Open,High,Low,Close,Adj Close,Volume
28/12/2015,46.84,48.884998,46.705002,48,45.643253,1192900
04/01/2016,47.290001,48.73,43.110001,43.110001,40.993347,13888500
11/01/2016,43.200001,44.09,39.66,40.02,38.055065,11191600
18/01/2016,40.689999,42.299999,38.360001,41.849998,39.795208,6834600
25/01/2016,41.470001,42.310001,38.950001,39.77,37.817337,6115900
01/02/2016,38.919998,40.049999,34.030998,37.700001,35.848976,16066300
08/02/2016,37.040001,37.139999,31.66,34.150002,32.473274,8070800
15/02/2016,34.619999,39.330002,34.111,38.509998,36.619205,4861100
22/02/2016,39.419998,40.150002,37.169998,38.459999,36.571655,2964000
29/02/2016,38.490002,39.93,37.970001,39.740002,37.788815,2302100
07/03/2016,39.110001,42.919998,39.110001,42.77,40.67004,3606200
14/03/2016,42.57,43.060001,41.099998,42.400002,40.318211,2290300
21/03/2016,42.380001,42.5,40.150002,41.150002,39.129589,1054000
28/03/2016,41.040001,42.5,40.529999,41.049999,39.034492,1751200
04/04/2016,41.240002,41.709999,40.049999,41.130001,39.110561,3405500
11/04/2016,41.169998,44,40.75,43.970001,41.811123,2334300
18/04/2016,43.830002,44.869999,42.830002,42.98,40.869732,2285600
25/04/2016,43.240002,46.119999,42.77,45.849998,43.598816,3390000
02/05/2016,46.5,46.549999,42.57,43.23,41.107456,3542500
09/05/2016,43.09,44.48,42.73,43.650002,41.506836,2104300
16/05/2016,43.73,44.02,40.110001,41.029999,39.015472,2679900
23/05/2016,40.48,42.349998,40.049999,41.98,39.918835,1785000
30/05/2016,42.389999,43.540001,42.060001,43.18,41.582867,2114500
06/06/2016,42.650002,44.43,41.869999,42.16,40.600586,2027500
13/06/2016,40.970001,42.360001,40.400002,42.139999,40.581333,2468800
20/06/2016,43.419998,43.793999,40.5,40.59,39.088669,2835300
27/06/2016,39.709999,41.849998,38.709999,41.48,39.945744,3479900
04/07/2016,40.93,41.959999,38.799999,41.25,39.724255,2538500
11/07/2016,42.34,42.990002,41.880001,42.369999,40.802822,1457300
18/07/2016,42.279999,43,41.779999,42.919998,41.332481,1667900
25/07/2016,43.18,45.18,42.939999,45.169998,43.49926,2452500
01/08/2016,45.029999,47.23,44.849998,46.880001,45.146008,4448100
08/08/2016,47.389999,48.599998,47.080002,48.41,46.619419,2749100
15/08/2016,48.41,48.700001,47.349998,48.400002,46.609791,1936400
22/08/2016,47.759998,49.110001,47.73,48.740002,46.93721,2404700
29/08/2016,48.400002,48.779999,47.93,48.5,46.706089,2187200
05/09/2016,48.25,50.09,48.200001,48.200001,46.417187,1609300
12/09/2016,47.360001,48.755001,46.389999,46.650002,44.924519,1517600
19/09/2016,47.560001,50.959999,47.259998,50.220001,48.362469,2037100
26/09/2016,50.220001,52.18,49.865002,51.869999,49.951443,2468500
03/10/2016,51.919998,53.66,51.75,53.490002,51.511528,2196000
10/10/2016,54.18,54.330002,52.389999,52.720001,50.77,3120500
17/10/2016,52.75,52.950001,51.939999,52.599998,50.654438,1302900
24/10/2016,52.830002,53.349998,52.540001,52.869999,50.914452,1404900
31/10/2016,52.73,53.099998,50.389999,51.07,49.18103,2060000
07/11/2016,53.52,54.990002,52.830002,54.470001,52.455276,4068500
14/11/2016,53.57,54.240002,52.720001,52.759998,50.808517,2537500
21/11/2016,53.200001,54.939999,53.029999,54.779999,52.753803,1089700
28/11/2016,54,54.990002,53.709999,54.09,52.089325,2608600
05/12/2016,55.029999,57.110001,54.93,56.880001,54.776131,2559600
12/12/2016,57.07,58.560001,56.485001,58.349998,56.191753,3018100
19/12/2016,58.34,58.860001,57.400002,58.330002,56.172501,1820500
26/12/2016,58.41,58.540001,57.630001,58.139999,55.989525,798700
02/01/2017,59.16,59.880001,58.349998,58.939999,56.759937,1505000
09/01/2017,57.77,60.634998,57.560001,59.830002,57.617016,2246700
16/01/2017,59.66,60.5,59.59,60.349998,58.117779,1017900
23/01/2017,61.07,62.919998,60.93,62.009998,59.716377,2529500
30/01/2017,60.919998,65.809998,60.66,65.699997,63.269894,3161500
